step,risk,HR,HRV,EDA
2,0.3121857491950595,68.36626571411813,44.599771340388656,0.6117448079614745
3,0.6070144647116755,68.61333891437977,35.1427117433794,0.8992752725912238
4,0.4338512223593016,68.65594459307995,40.71693361932646,1.0140456772001727
5,0.26216270738309855,68.70088483141463,43.49504092204806,1.101411128286363
6,0.0968515509198632,68.62787334740311,48.8076002487433,1.0054963833333184
7,0.33827254763815473,68.82215263274051,40.99109285175123,1.0857688545948996
8,0.9781154747825694,69.18284241610971,26.90254505918014,1.2327759252509463
9,0.28280851438426535,69.15613767860826,43.12489797708599,1.532737067416269
10,0.7788367841474663,69.2030088472599,30.259188646529235,1.7168089804639621
11,0.833754205438015,69.49820876945562,29.882546276737738,2.0497235353512853
12,0.03901993069608689,69.42693115478558,52.09084402363095,2.110789072911725
13,0.22431871140029502,69.64741838395099,45.782854470486654,2.0632995994323724
14,0.5139028494544584,69.58071595001732,37.90319585716766,2.389973600081847
15,0.9424759462541543,69.89081332389246,22.35395051440128,2.4772879798952907
16,0.08708021382388942,69.82075400223135,47.32705427147187,2.632731059344324
17,0.5469460206513493,69.9335242704679,33.889519394364996,2.6925015170137296
18,0.6816184063923368,70.15805527914516,35.080664568025135,3.2565741712562395
19,0.638347192932287,70.15465436999008,31.86634145927048,3.162989014592368
20,0.7381869736054228,70.23745054703872,27.363896945724843,3.5164778630998463
21,0.9922215787751333,70.24479140532566,24.410248300386826,3.6293436346346897
22,0.9954057170053825,70.35577102067252,25.432757089480884,3.966529944958011
23,0.7383006167066652,70.8503783319589,32.57506006604921,4.244998741366653
24,0.4101559159844872,70.75479335253546,37.09850911758653,4.263941929406291
25,0.5509414276715968,70.97416279035671,38.32470816268404,4.508400966006391
26,0.1711091087394676,70.92686687894488,42.67898721838708,4.425652693863951
27,0.7420671580344007,70.85719418932597,32.39699094645924,4.613252344981891
28,0.11946105785618322,70.95094985314942,50.77893491582579,4.744824773309637
29,0.2355418121542504,70.93210426964598,42.381326200049564,4.816056650294321
30,0.7647237964587663,71.16668066875283,30.97377871377977,5.028931289223007
31,0.4539959467258493,71.35295884252257,46.36285511126497,5.151021246092635
32,0.2591349072215816,71.1948770533164,44.199307198914276,5.300014475994217
33,0.319401562126272,71.35101322485394,41.6471495888514,5.30508218455911
34,0.688762161621359,71.25464963171103,32.02631263259552,5.356394694492049
35,0.23134730098781775,71.59179534625191,45.381301611607135,5.663949680842178
36,0.5855532856690885,71.46238092356411,34.190722255911645,5.743978570679681
37,0.3455041134892015,71.642253141315,41.313478125328515,5.82628158384608
38,0.04826949208626552,71.52756309962079,46.798206362526436,5.837502650511532
39,0.867069845470442,71.77097470723139,27.134336333975384,6.089686637257693
40,0.9984373185567333,71.87720747480651,24.02250119355192,6.480712310449902
41,0.08994170210250063,71.8387309425408,47.01382647606744,6.516976153903081
42,0.3663788084926012,71.77865439657006,42.10826047410091,6.535039050922544
43,0.9286350089170379,72.35493084664027,22.68544750096154,7.009474281370641
44,0.5921418025730689,72.38605226352573,37.945740395905034,7.123002959897271
45,0.7011308601871858,72.3718967874101,32.85575628915974,7.3246911450331815
46,0.10605744433323949,72.73902530708405,49.76574749269744,7.143274276506808
47,0.0023686303901422345,72.6919231125186,49.47272529552694,7.24110588566684
48,0.10361028554104479,72.58409286490453,47.776061161767934,7.112180002498794
49,0.3502386534029568,72.87725567975032,40.75570951898974,7.277432597624134
50,0.12168009300492766,72.57361540732926,46.06152846564347,7.482263804608279
51,0.9416081071934621,72.78435881087655,29.82664140736222,7.782915116906177
52,0.8181710121874185,72.94878832485365,28.396896801296833,7.891467203643823
53,0.6590916805367246,73.17205568060898,31.90855573446444,7.953677090519656
54,0.17579301713188566,73.04888514943661,46.614594186871415,7.955459301695484
55,0.5142672983748791,73.40084964114446,37.47176080732252,8.394449097564502
56,0.49919584714128606,73.2690097578761,39.19966291177626,8.463240370127952
57,0.09990106367200535,73.47873420800208,46.02830004322483,8.484444495176696
58,0.620708336691245,73.77877508704488,32.925811467848234,8.63132674796225
59,0.29602895083464154,73.69009999142709,42.76174529389361,8.59485759147168
60,0.09750140364994997,73.5537698759322,45.402754364718945,8.876710792608158
61,0.3321004412431544,73.88193108341449,43.04459053094488,9.169906757823286
62,0.34556590324751313,73.95695640371244,47.07088758667038,9.144933877024437
63,0.272647601125633,73.96924569982161,44.74500650489827,9.241641476235733
64,0.8639456564792937,74.11792507098691,28.611930165006253,9.34258177577887
65,0.661544039121476,74.34102513024068,37.28496694382499,9.55893484161929
66,0.5458604421588001,74.50195256081405,35.47078789272375,9.657852068753686
67,0.34968995509760203,74.37515637447595,39.367506267132995,9.758913665438314
68,0.7959640982583727,74.43911666872907,32.173418495721975,10.047215116459409
69,0.6270981992038576,74.48817992404915,35.79664295972136,10.314648816778748
70,0.5300543755455518,74.91157027002447,35.374616652357105,10.410661972958156
71,0.751115655308846,74.75733538641032,35.13704136022099,10.56620857402575
72,0.11800986443651018,75.07314116300387,47.36089129475504,10.6198383086794
73,0.4162078514980484,75.00334494370067,38.64237893816921,10.727726928070203
74,0.501865485087334,74.92932894263826,33.272585829818006,11.03668853815531
75,0.7158087818273389,75.13964036679141,27.93544283859031,10.965381211562024
76,0.4441293240186659,75.46383709685215,37.409655172566694,11.36596782759279
77,0.5086668566082614,75.52878531606072,36.59958071905763,11.468510017723284
78,0.3017813984132983,75.51657147906754,42.903842280586076,11.555896680790717
79,0.7135831356676045,75.52162995615305,28.560674098231395,11.805462421794859
80,0.6881436764844501,75.65773287211181,33.899270479702096,12.062829920866742
81,0.27984869417475444,75.88937599541649,39.73832014442057,12.036131975312657
82,0.9559171607986935,75.89863650836989,27.777927001462757,12.325538433539887
83,0.2329018200118399,75.83793695698625,43.37885045306175,12.304201344812322
84,0.8862447773930818,76.2797518442923,27.44985335790923,12.459111452255653
85,0.7359548503483895,76.37045229937135,33.369109998540225,12.819270164107222
86,0.6670046620919557,76.12039760994777,33.092087394058794,13.05295974148689
